"","name","type","subtype","lat","lon","note"
"1","Squamish","start-end","Start",49.68456,-123.165779,"-"
"2","Desolation Sound","Stop","Main stop",50.113258,-124.742548,"Meet UBC group"
"3","Port Hardy","Stop","Main stop",50.72459,-127.491238,"Groceries, post office"
"4","Tahsis","Stop","Main stop",49.923282,-126.655412,"Groceries, post office"
"5","Tofino","Stop","Main stop",49.153622,-125.910919,"Groceries, post office"
"6","Port Renfrew","Stop","Main stop",48.55755,-124.406919,"Groceries, post office"
"7","Victoria","Stop","Main stop",48.457685,-123.296081,"Groceries, post office"
"8","Nanaimo","Stop","Main stop",48.457685,-123.296081,"Groceries, post office, ferry"
"9","Campbell River","start-end","Finish",50.026759,-125.240396,"-"
"10","Sayward","Stop","Alternative stop",50.397064,-125.960777,"Post office, groceries far from kayak landing"
"11","San Josef Bay","Stop","Alternative stop",50.673988,-128.281534,"No amenities"
"12","Port Alice","Stop","Alternative stop",50.427445,-127.485316,"Groceries, post office"
"13","Bamfield","Stop","Alternative stop",48.834508,-125.136868,"Groceries, post office"
"14","Chemainus","Stop","Alternative stop",48.928722,-123.717792,"Groceries, post office"
"15","Qualicum Beach","Stop","Alternative stop",49.354531,-124.4588,"Groceries, post office"
"16","Comox","Stop","Alternative stop",49.670796,-124.929063,"Groceries, post office"
